"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R44","RES_1206","6699.937mil","4790.337mil","6699.937mil","4794.275mil","6699.937mil","4862.188mil","B","270.00","10K"
"S12_1","PAD","3740.157mil","590.551mil","3740.157mil","590.551mil","3740.157mil","393.701mil","T","270.00","SW-PB"
"S11_1","PAD","3149.606mil","590.551mil","3149.606mil","590.551mil","3149.606mil","393.701mil","T","270.00","SW-PB"
"S10_1","PAD","2559.055mil","590.551mil","2559.055mil","590.551mil","2559.055mil","393.701mil","T","270.00","SW-PB"
"S9_1","PAD","1968.504mil","590.551mil","1968.504mil","590.551mil","1968.504mil","393.701mil","T","270.00","SW-PB"
"S4_2","PAD","6299.213mil","590.551mil","6299.213mil","590.551mil","6299.213mil","393.701mil","T","270.00","SW-PB"
"S3_2","PAD","5708.661mil","590.551mil","5708.661mil","590.551mil","5708.661mil","393.701mil","T","270.00","SW-PB"
"S2_2","PAD","5118.11mil","590.551mil","5118.11mil","590.551mil","5118.11mil","393.701mil","T","270.00","SW-PB"
"S1_2","PAD","4527.559mil","590.551mil","4527.559mil","590.551mil","4527.559mil","393.701mil","T","270.00","SW-PB"
"S8_1","PAD","6299.213mil","1181.102mil","6299.213mil","1181.102mil","6299.213mil","1377.953mil","T","90.00","SW-PB"
"S7_1","PAD","5708.661mil","1181.102mil","5708.661mil","1181.102mil","5708.661mil","1377.953mil","T","90.00","SW-PB"
"S6_1","PAD","5118.11mil","1181.102mil","5118.11mil","1181.102mil","5118.11mil","1377.953mil","T","90.00","SW-PB"
"S5_1","PAD","4527.559mil","1181.102mil","4527.559mil","1181.102mil","4527.559mil","1377.953mil","T","90.00","SW-PB"
"S4_1","PAD","3740.157mil","1185.039mil","3740.157mil","1185.039mil","3740.157mil","1381.89mil","T","90.00","SW-PB"
"S3_1","PAD","3149.606mil","1181.102mil","3149.606mil","1181.102mil","3149.606mil","1377.953mil","T","90.00","SW-PB"
"S2_1","PAD","2559.055mil","1181.102mil","2559.055mil","1181.102mil","2559.055mil","1377.953mil","T","90.00","SW-PB"
"S1_1","PAD","1968.504mil","1181.102mil","1968.504mil","1181.102mil","1968.504mil","1377.953mil","T","90.00","SW-PB"
"S12_2","PAD","2559.055mil","3641.732mil","2559.055mil","3641.732mil","2559.055mil","3444.882mil","T","270.00","SW-PB"
"S11_2","PAD","1968.504mil","3641.732mil","1968.504mil","3641.732mil","1968.504mil","3444.882mil","T","270.00","SW-PB"
"S10_2","PAD","1377.953mil","3641.732mil","1377.953mil","3641.732mil","1377.953mil","3444.882mil","T","270.00","SW-PB"
"S9_2","PAD","787.402mil","3641.732mil","787.402mil","3641.732mil","787.402mil","3444.882mil","T","270.00","SW-PB"
"S8_2","PAD","2559.055mil","4232.283mil","2559.055mil","4232.283mil","2559.055mil","4429.134mil","T","90.00","SW-PB"
"S7_2","PAD","1968.504mil","4232.283mil","1968.504mil","4232.283mil","1968.504mil","4429.134mil","T","90.00","SW-PB"
"S6_2","PAD","1377.953mil","4232.283mil","1377.953mil","4232.283mil","1377.953mil","4429.134mil","T","90.00","SW-PB"
"S5_2","PAD","787.402mil","4232.283mil","787.402mil","4232.283mil","787.402mil","4429.134mil","T","90.00","SW-PB"
"P0","PWR","1929.134mil","5435.039mil","1929.134mil","5433.071mil","1811.024mil","5433.071mil","B","0.00","Power Input"
"D1","SMC_Vishay","1488.189mil","5366.142mil","1488.189mil","5366.142mil","1613.386mil","5366.142mil","B","0.00","1N5401"
"U6","LCD-128H064A","4763.779mil","4113.937mil","4763.779mil","4114.173mil","5483.779mil","2834.173mil","T","360.00","LCD-128H064A"
"U1","PIC32MX150F128B-I/SO","7251.97mil","860.042mil","7437.009mil","1185.041mil","7437.01mil","1185.042mil","B","180.00","PIC32MX150F128B"
"D1_3","LED-3mm","787.402mil","4232.285mil","787.402mil","4232.285mil","837.402mil","4232.285mil","T","180.00","LED"
"P3","SDAMB-01215BT00","7421.261mil","4901.577mil","6937.009mil","5188.978mil","7704.725mil","5202.758mil","B","360.00","SDAMB-01215BT00"
"Cod_1","PEC11R-4xxxF-Sxxxx","688.977mil","2155.514mil","688.977mil","2165.356mil","590.552mil","2440.947mil","T","0.00","Switch"
"C1","CAPA_PANA_SIZE_D*","1850.395mil","5110.239mil","1850.394mil","5110.238mil","1850.395mil","5011.814mil","B","180.00","470uF"
"C2","capa_1206","2047.245mil","5125.987mil","2047.245mil","5125.986mil","2047.245mil","5197.838mil","B","270.00","100nF"
"C3","capa_1206","2287.402mil","5240.16mil","2287.402mil","5240.159mil","2215.551mil","5240.16mil","B","360.00","10uF"
"C4","CAPA_PANA_SIZE_D*","1948.821mil","4677.167mil","1948.82mil","4677.167mil","1948.821mil","4775.592mil","B","360.00","100uF"
"C5","capa_1206","1751.969mil","4661.419mil","1751.969mil","4661.419mil","1751.969mil","4589.568mil","B","90.00","100nF"
"C6","CAPA_PANA_SIZE_D*","1259.843mil","4677.167mil","1259.843mil","4677.167mil","1259.843mil","4775.592mil","B","360.00","470uF"
"C7","capa_1206","1456.693mil","4661.419mil","1456.694mil","4661.419mil","1456.693mil","4589.568mil","B","90.00","100nF"
"C8","capa_1206","925.198mil","5240.158mil","925.198mil","5240.159mil","997.049mil","5240.158mil","B","180.00","10uF"
"C9","CAPA_PANA_SIZE_D*","1358.267mil","5106.301mil","1358.268mil","5106.301mil","1358.267mil","5007.876mil","B","180.00","100uF"
"C10","capa_1206","1161.417mil","5125.987mil","1161.418mil","5125.986mil","1161.417mil","5197.838mil","B","270.00","100nF"
"C21_MCP1","capa_1206","771.655mil","2755.906mil","771.654mil","2755.907mil","843.506mil","2755.906mil","B","180.00","10uF"
"C21_MCP2","capa_1206","2255.906mil","2755.907mil","2255.906mil","2755.907mil","2327.756mil","2755.907mil","B","180.00","10uF"
"C22_MCP1","capa_1206","771.655mil","2637.796mil","771.654mil","2637.797mil","843.506mil","2637.796mil","B","180.00","100nF"
"C22_MCP2","capa_1206","2255.907mil","2637.797mil","2255.906mil","2637.797mil","2327.758mil","2637.797mil","B","180.00","100nF"
"C31","capa_1206","744.096mil","1181.104mil","744.095mil","1181.104mil","815.947mil","1181.104mil","B","180.00","10uF"
"C32","capa_1206","744.095mil","1354.334mil","744.095mil","1354.333mil","815.945mil","1354.334mil","B","180.00","100nF"
"C33","capa_1206","1377.954mil","989.177mil","1377.954mil","989.176mil","1377.954mil","1061.027mil","B","270.00","10uF"
"C34","capa_1206","1496.064mil","989.176mil","1496.064mil","989.176mil","1496.064mil","1061.027mil","B","270.00","10uF"
"C35","capa_1206","1259.844mil","989.176mil","1259.844mil","989.176mil","1259.844mil","1061.027mil","B","270.00","10uF"
"C36","capa_1206","1141.734mil","989.176mil","1141.733mil","989.176mil","1141.734mil","1061.027mil","B","270.00","10uF"
"C41","capa_1206","6834.646mil","2874.018mil","6834.646mil","2874.018mil","6762.796mil","2874.018mil","B","360.00","10uF"
"C42","capa_1206","6834.646mil","2972.444mil","6834.646mil","2972.443mil","6762.796mil","2972.444mil","B","360.00","100nF"
"C71_1","capa_1206","472.441mil","1795.278mil","472.442mil","1795.277mil","472.441mil","1723.428mil","B","90.00","10nF"
"C71_2","capa_1206","1456.693mil","1795.277mil","1456.694mil","1795.277mil","1456.693mil","1723.426mil","B","90.00","10nF"
"C71_3","capa_1206","2440.945mil","1795.277mil","2440.946mil","1795.277mil","2440.945mil","1723.426mil","B","90.00","10nF"
"C71_4","capa_1206","3425.197mil","1795.278mil","3425.198mil","1795.277mil","3425.197mil","1723.428mil","B","90.00","10nF"
"C71_5","capa_1206","4409.449mil","1795.277mil","4409.449mil","1795.277mil","4409.449mil","1723.426mil","B","90.00","10nF"
"C71_6","capa_1206","5393.701mil","1795.277mil","5393.702mil","1795.277mil","5393.701mil","1723.426mil","B","90.00","10nF"
"C71_7","capa_1206","6377.953mil","1795.278mil","6377.953mil","1795.277mil","6377.953mil","1723.428mil","B","90.00","10nF"
"C71_8","capa_1206","7362.205mil","1795.277mil","7362.205mil","1795.277mil","7362.205mil","1723.426mil","B","90.00","10nF"
"C71_9","capa_1206","7027.558mil","3566.93mil","7027.56mil","3566.931mil","7027.558mil","3495.08mil","B","90.00","10nF"
"C72_1","capa_1206","905.513mil","1795.278mil","905.513mil","1795.277mil","905.513mil","1867.128mil","B","270.00","10nF"
"C72_2","capa_1206","1889.765mil","1795.277mil","1889.764mil","1795.277mil","1889.765mil","1867.128mil","B","270.00","10nF"
"C72_3","capa_1206","2874.017mil","1795.277mil","2874.017mil","1795.277mil","2874.017mil","1867.128mil","B","270.00","10nF"
"C72_4","capa_1206","3858.269mil","1795.278mil","3858.268mil","1795.277mil","3858.269mil","1867.128mil","B","270.00","10nF"
"C72_5","capa_1206","4842.521mil","1795.277mil","4842.52mil","1795.277mil","4842.521mil","1867.128mil","B","270.00","10nF"
"C72_6","capa_1206","5826.773mil","1795.277mil","5826.772mil","1795.277mil","5826.773mil","1867.128mil","B","270.00","10nF"
"C72_7","capa_1206","6811.025mil","1795.278mil","6811.024mil","1795.277mil","6811.025mil","1867.128mil","B","270.00","10nF"
"C72_8","capa_1206","7795.277mil","1795.277mil","7795.276mil","1795.277mil","7795.277mil","1867.128mil","B","270.00","10nF"
"C72_9","capa_1206","7421.262mil","3566.93mil","7421.261mil","3566.931mil","7421.262mil","3638.78mil","B","270.00","10nF"
"C91","capa_1206","6149.606mil","2496.065mil","6149.607mil","2496.065mil","6149.606mil","2424.214mil","B","90.00","10uF"
"C92","capa_1206","6248.032mil","2496.065mil","6248.032mil","2496.065mil","6248.032mil","2424.214mil","B","90.00","100nF"
"C101","capa_1206","6811.025mil","1102.364mil","6811.024mil","1102.364mil","6811.025mil","1174.214mil","B","270.00","10uF"
"C102","capa_1206","6692.915mil","1102.364mil","6692.914mil","1102.364mil","6692.915mil","1174.214mil","B","270.00","100nF"
"C103","capa_1206","7224.409mil","444.885mil","7224.41mil","444.884mil","7296.259mil","444.885mil","B","180.00","10uF"
"C104","capa_1206","7224.409mil","354.332mil","7224.41mil","354.333mil","7296.259mil","354.332mil","B","180.00","100nF"
"C105","capa_1206","7984.252mil","870.081mil","7984.253mil","870.081mil","7912.402mil","870.081mil","B","360.00","22pF"
"C106","capa_1206","7984.252mil","653.545mil","7984.253mil","653.545mil","7912.402mil","653.545mil","B","360.00","22pF"
"C108","capa_1206","6811.025mil","857.284mil","6811.024mil","857.284mil","6811.025mil","785.434mil","B","90.00","100nF"
"C109","capa_1206","7035.434mil","3192.915mil","7035.434mil","3192.915mil","7035.434mil","3121.064mil","B","90.00","10uF"
"C110","capa_1206","7204.726mil","3192.916mil","7204.725mil","3192.915mil","7204.726mil","3121.066mil","B","90.00","100nF"
"C111","capa_1206","7224.41mil","173.23mil","7224.41mil","173.23mil","7224.41mil","101.38mil","B","90.00","100nF"
"Cod_2","PEC11R-4xxxF-Sxxxx","1673.229mil","2155.514mil","1673.229mil","2165.356mil","1574.804mil","2440.947mil","T","0.00","Switch"
"Cod_3","PEC11R-4xxxF-Sxxxx","2657.481mil","2155.514mil","2657.481mil","2165.356mil","2559.056mil","2440.947mil","T","0.00","Switch"
"Cod_4","PEC11R-4xxxF-Sxxxx","3641.733mil","2155.514mil","3641.733mil","2165.356mil","3543.308mil","2440.947mil","T","0.00","Switch"
"Cod_5","PEC11R-4xxxF-Sxxxx","4625.985mil","2155.514mil","4625.985mil","2165.356mil","4527.56mil","2440.947mil","T","0.00","Switch"
"Cod_6","PEC11R-4xxxF-Sxxxx","5610.237mil","2155.514mil","5610.237mil","2165.356mil","5511.812mil","2440.947mil","T","0.00","Switch"
"Cod_7","PEC11R-4xxxF-Sxxxx","6594.489mil","2155.514mil","6594.489mil","2165.356mil","6496.064mil","2440.947mil","T","0.00","Switch"
"Cod_8","PEC11R-4xxxF-Sxxxx","7578.741mil","2155.514mil","7578.741mil","2165.356mil","7480.316mil","2440.947mil","T","0.00","Switch"
"Cod_9","PEC11R-4xxxF-Sxxxx","7224.41mil","3927.167mil","7224.41mil","3937.01mil","7125.985mil","4212.6mil","T","0.00","Switch"
"D1_1","LED-3mm","1968.505mil","1181.104mil","1968.505mil","1181.104mil","2018.505mil","1181.104mil","T","180.00","LED"
"D1_2","LED-3mm","1968.505mil","590.553mil","1968.505mil","590.553mil","2018.505mil","590.553mil","T","180.00","LED"
"D1_4","LED-3mm","688.977mil","1692.915mil","688.977mil","1692.915mil","688.977mil","1642.915mil","T","90.00","LED"
"D2_1","LED-3mm","2559.056mil","1181.104mil","2559.056mil","1181.104mil","2609.056mil","1181.104mil","T","180.00","LED"
"D2_2","LED-3mm","2559.056mil","590.553mil","2559.056mil","590.553mil","2609.056mil","590.553mil","T","180.00","LED"
"D2_3","LED-3mm","1377.954mil","4232.285mil","1377.954mil","4232.285mil","1427.954mil","4232.285mil","T","180.00","LED"
"D2_4","LED-3mm","1673.229mil","1692.915mil","1673.229mil","1692.915mil","1673.229mil","1642.915mil","T","90.00","LED"
"D2","DO-214AC(SMA)","2456.693mil","4551.181mil","2456.693mil","4551.181mil","2533.858mil","4551.181mil","B","360.00","1N4001"
"D3_1","LED-3mm","3149.607mil","1181.104mil","3149.607mil","1181.104mil","3199.607mil","1181.104mil","T","180.00","LED"
"D3_2","LED-3mm","3149.607mil","590.553mil","3149.607mil","590.553mil","3199.607mil","590.553mil","T","180.00","LED"
"D3_3","LED-3mm","1968.505mil","4232.285mil","1968.505mil","4232.285mil","2018.505mil","4232.285mil","T","180.00","LED"
"D3_4","LED-3mm","2657.481mil","1692.915mil","2657.481mil","1692.915mil","2657.481mil","1642.915mil","T","90.00","LED"
"D3","DO-214AC(SMA)","2145.669mil","4610.236mil","2145.669mil","4610.236mil","2145.669mil","4687.402mil","B","90.00","1N4001"
"D4_1","LED-3mm","3740.158mil","1181.104mil","3740.158mil","1181.104mil","3790.158mil","1181.104mil","T","180.00","LED"
"D4_2","LED-3mm","3740.158mil","590.553mil","3740.158mil","590.553mil","3790.158mil","590.553mil","T","180.00","LED"
"D4_3","LED-3mm","2559.056mil","4232.285mil","2559.056mil","4232.285mil","2609.056mil","4232.285mil","T","180.00","LED"
"D4_4","LED-3mm","3641.733mil","1692.915mil","3641.733mil","1692.915mil","3641.733mil","1642.915mil","T","90.00","LED"
"D4","SMC_Vishay","1610.237mil","5094.49mil","1610.237mil","5094.49mil","1610.237mil","5219.687mil","B","90.00","1N5401"
"D5_1","LED-3mm","4527.56mil","1181.104mil","4527.56mil","1181.104mil","4577.56mil","1181.104mil","T","180.00","LED"
"D5_2","LED-3mm","4527.56mil","590.553mil","4527.56mil","590.553mil","4577.56mil","590.553mil","T","180.00","LED"
"D5_3","LED-3mm","787.402mil","3641.734mil","787.402mil","3641.734mil","787.402mil","3691.734mil","T","270.00","LED"
